Stock Name,Buy Date,Sell Date,Buy Price,Sell Price,Return Rate,Hold Duration,Notes
apple,2010-02-26,2010-05-18,6.22,7.67,23.26%,81,
apple,2010-06-08,2010-07-08,7.58,7.85,3.50%,30,
apple,2010-08-02,2010-08-17,7.96,7.66,-3.76%,15,
apple,2010-09-10,2010-11-23,8.01,9.38,17.15%,74,
apple,2010-12-01,2011-03-16,9.62,10.03,4.29%,105,
apple,2011-04-27,2011-05-20,10.64,10.19,-4.25%,23,
apple,2011-07-05,2011-08-16,10.62,11.57,8.86%,42,
apple,2011-09-06,2011-10-06,11.54,11.47,-0.62%,30,
apple,2011-10-17,2011-11-14,12.77,11.53,-9.67%,28,
apple,2011-12-12,2012-04-23,11.91,17.38,45.76%,133,
apple,2012-06-07,2012-10-04,17.38,20.36,17.08%,119,
apple,2012-12-03,2012-12-11,17.98,16.60,-7.62%,8,
nas100,2013-02-13,2013-02-28,61.85,61.05,-1.28%,15,
nas100,2013-03-07,2013-06-12,62.50,65.53,4.83%,97,
xindongfang,2013-06-13,2013-07-02,21.02,21.18,0.77%,19,
xindongfang,2013-07-05,2013-07-30,22.03,20.85,-5.34%,25,
apple,2013-07-31,2013-09-16,14.05,14.07,0.12%,47,
xindongfang,2013-09-17,2014-01-31,23.36,28.59,22.34%,136,
nas100,2014-02-14,2014-03-24,82.67,81.73,-1.13%,38,
apple,2014-03-25,2014-04-11,17.24,16.43,-4.64%,17,
ximenzi,2014-04-14,2014-04-28,49.75,48.35,-2.79%,14,
apple,2014-04-29,2014-10-01,18.73,22.19,18.39%,155,
xindongfang,2014-10-03,2014-10-17,23.17,20.22,-12.70%,14,
apple,2014-10-27,2014-12-15,23.52,24.32,3.40%,49,
nas100,2014-12-16,2014-12-17,93.10,94.79,1.81%,1,
ximenzi,2014-12-18,2014-12-19,43.10,42.35,-1.75%,1,
nas100,2014-12-31,2015-01-06,96.50,93.53,-3.07%,6,
xindongfang,2015-01-14,2015-01-22,20.67,18.68,-9.59%,8,
ximenzi,2015-01-27,2015-02-09,42.62,41.15,-3.45%,13,
apple,2015-02-10,2015-03-17,27.53,28.66,4.10%,35,
xindongfang,2015-03-18,2015-05-13,20.50,23.77,15.87%,56,
nas100,2015-05-14,2015-06-15,102.65,101.37,-1.25%,32,
xindongfang,2015-06-16,2015-07-02,24.54,23.19,-5.46%,16,
nas100,2015-07-17,2015-08-18,106.66,104.09,-2.40%,32,
ximenzi,2015-08-19,2015-08-24,39.68,37.72,-4.91%,5,
apple,2015-09-16,2015-10-06,26.49,25.33,-4.37%,20,
xindongfang,2015-10-07,2016-01-06,21.49,28.81,33.96%,91,
ximenzi,2016-02-01,2016-05-23,38.53,42.35,9.89%,112,
xindongfang,2016-05-24,2016-06-15,42.63,39.20,-8.02%,22,
apple,2016-06-16,2016-06-23,22.55,22.21,-1.48%,7,
xindongfang,2016-07-01,2016-08-15,41.83,42.24,0.97%,45,
apple,2016-08-16,2016-09-08,25.42,24.52,-3.52%,23,
nas100,2016-09-09,2016-09-13,108.50,109.46,0.88%,4,
xindongfang,2016-09-14,2016-11-28,45.01,50.14,11.37%,75,
xindongfang,2016-11-29,2016-12-02,49.91,41.77,-16.27%,3,
nas100,2016-12-05,2017-06-22,110.98,134.96,21.54%,199,
xindongfang,2017-06-23,2017-06-26,72.32,72.01,-0.43%,3,
ali,2017-06-27,2017-10-25,141.53,170.22,20.21%,120,
apple,2017-10-26,2017-12-08,37.23,40.20,7.96%,43,
xindongfang,2017-12-11,2018-01-30,90.24,91.07,0.92%,50,
nas100,2018-01-31,2018-02-09,163.19,150.38,-7.83%,9,
apple,2018-02-26,2018-03-27,42.65,40.12,-5.92%,29,
xindongfang,2018-03-28,2018-03-29,86.25,87.65,1.62%,1,
xindongfang,2018-04-16,2018-04-26,91.43,90.29,-1.24%,10,
nas100,2018-04-27,2018-07-03,156.40,165.16,5.58%,67,
nas100,2018-07-12,2018-10-09,173.53,174.01,0.27%,89,
apple,2018-10-10,2018-10-17,51.95,53.11,2.23%,7,
xindongfang,2018-11-13,2018-11-16,58.26,55.68,-4.42%,3,
ali,2018-11-19,2018-12-18,149.53,140.82,-5.81%,29,
xindongfang,2019-01-09,2019-03-18,62.98,79.09,25.50%,68,
apple,2019-03-19,2019-05-15,45.13,46.37,2.74%,57,
ximenzi,2019-05-16,2019-05-29,53.52,51.07,-4.56%,13,
xindongfang,2019-06-11,2019-12-12,91.35,122.33,33.81%,184,
apple,2019-12-13,2020-02-25,67.29,70.62,4.93%,74,
xindongfang,2020-02-26,2020-03-09,133.75,127.12,-4.94%,12,
futu,2020-03-10,2020-03-11,11.74,11.52,-1.87%,1,
nas100,2020-04-13,2020-09-16,199.29,270.01,35.38%,156,
xindongfang,2020-09-17,2020-12-02,154.44,157.96,2.27%,76,
apple,2020-12-03,2021-02-22,121.30,124.50,2.63%,81,
xindongfang,2021-02-23,2021-03-08,182.56,177.20,-2.93%,13,
futu,2021-03-09,2021-03-12,152.91,159.49,4.29%,3,
ximenzi,2021-03-15,2021-05-21,76.19,78.34,2.82%,67,
li_auto,2021-05-26,2021-07-26,22.82,30.77,34.73%,61,
apple,2021-07-27,2021-09-21,145.27,142.18,-2.12%,56,
dindong,2021-09-22,2021-11-23,23.14,24.00,3.71%,62,
apple,2021-11-24,2022-01-18,160.76,168.56,4.84%,55,
ali,2022-01-19,2022-01-28,127.74,115.23,-9.76%,9,
futu,2022-01-31,2022-02-03,43.25,41.45,-4.15%,3,
apple,2022-02-09,2022-02-24,175.22,161.76,-7.66%,15,
dindong,2022-02-25,2022-03-01,4.52,4.44,-1.76%,4,
li_auto,2022-03-02,2022-03-10,30.09,25.99,-13.58%,8,
nas100,2022-03-24,2022-04-19,356.42,343.15,-3.71%,26,
dindong,2022-04-20,2022-05-09,5.38,4.06,-24.46%,19,
xindongfang,2022-05-10,2022-05-16,9.94,11.09,11.53%,6,
xindongfang,2022-05-25,2022-09-19,10.94,23.97,118.75%,117,
weilai,2022-09-20,2022-09-28,20.41,17.33,-15.05%,8,
ximenzi,2022-10-13,2022-12-28,50.62,65.83,29.94%,76,
dindong,2022-12-29,2023-02-03,4.15,5.19,24.99%,36,
apple,2023-02-06,2023-03-06,151.50,153.83,1.53%,28,
ximenzi,2023-03-07,2023-03-17,77.81,73.16,-5.96%,10,
